                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1871,                 1.6927,                 1.2211,                0.85996,                0.64169,                0.70025,                0.45133,                    nan,                    nan,                    nan,               0.070023,              0.0033307,              0.0033307
                      2,                 1.1375,                 1.0446,                 1.1799,                0.82664,                 0.6325,                0.68315,                0.44414,                    nan,                    nan,                    nan,               0.039957,              0.0065981,              0.0065981
                      3,                 1.1928,                 1.0694,                 1.2108,                0.84322,                 0.6123,                0.66098,                0.42563,                    nan,                    nan,                    nan,              0.0098254,              0.0097995,              0.0097995
                      4,                 1.2081,                 1.0708,                 1.2273,                0.86815,                 0.6358,                0.69421,                0.46133,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      5,                 1.1605,                0.96469,                 1.2007,                0.88815,                0.65515,                0.70723,                0.48616,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      6,                 1.1175,                 0.8985,                 1.1737,                0.91092,                0.66877,                0.73161,                0.51275,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                      7,                 1.0927,                0.84433,                 1.1605,                0.90228,                0.66288,                0.71832,                0.49852,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                      8,                 1.0676,                0.81877,                 1.1477,                0.90519,                0.68384,                0.72821,                0.51427,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                      9,                 1.0458,                0.78579,                 1.1356,                0.91708,                0.67767,                0.72534,                 0.5178,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     10,                 1.0175,                 0.7541,                 1.1195,                 0.9149,                0.68673,                0.73248,                0.52639,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     11,                  1.005,                0.72893,                 1.1144,                0.91854,                0.68622,                0.73402,                0.52166,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     12,                0.98703,                0.70873,                 1.1027,                0.91599,                0.68351,                0.73118,                0.52912,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     13,                0.97361,                0.69199,                 1.0959,                0.91669,                0.69299,                0.73975,                0.54347,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     14,                0.97656,                0.69169,                 1.0969,                0.93334,                0.69351,                0.74282,                0.54748,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     15,                0.95575,                0.67098,                 1.0892,                0.91779,                0.69259,                0.73731,                0.53649,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     16,                0.94376,                0.65252,                 1.0791,                0.93129,                0.69481,                0.74597,                0.55975,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     17,                0.93305,                0.65123,                 1.0717,                 0.9205,                  0.698,                0.73738,                0.54853,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     18,                0.92137,                0.63379,                 1.0679,                0.93401,                0.69596,                0.75103,                0.56239,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     19,                0.91603,                0.62539,                 1.0639,                0.92175,                0.70065,                0.75304,                0.56292,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     20,                0.91384,                0.61933,                 1.0654,                0.93188,                0.70101,                0.75145,                0.56555,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     21,                0.90278,                0.61645,                 1.0585,                0.91856,                0.70121,                0.74403,                0.55698,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     22,                0.90248,                 0.6104,                 1.0583,                0.93061,                0.70218,                 0.7504,                0.56773,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     23,                0.89435,                0.59998,                   1.05,                0.93645,                 0.7013,                0.74986,                 0.5665,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     24,                0.88064,                0.59329,                 1.0471,                0.93314,                 0.7062,                0.74918,                0.56618,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     25,                0.87651,                0.57613,                 1.0462,                0.92819,                0.70739,                0.75414,                0.57187,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     26,                0.86554,                0.57448,                 1.0372,                0.93025,                0.70257,                0.74766,                0.56847,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     27,                0.87027,                0.57921,                 1.0402,                0.93899,                0.70061,                0.75095,                0.57045,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     28,                 0.8589,                0.55984,                 1.0341,                0.93801,                0.70745,                0.75663,                0.57912,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     29,                0.84955,                0.55742,                 1.0318,                 0.9343,                0.71317,                0.75985,                0.58131,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     30,                0.85352,                0.56388,                 1.0328,                 0.9326,                0.71025,                0.75866,                0.58301,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     31,                0.84167,                0.54894,                 1.0268,                0.93686,                0.70122,                 0.7515,                0.58029,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     32,                0.84167,                0.54803,                 1.0267,                0.93704,                0.70424,                0.75472,                0.58187,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     33,                0.84458,                0.54722,                 1.0257,                0.93023,                0.71354,                 0.7588,                0.58799,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     34,                0.83404,                0.54205,                 1.0233,                 0.9302,                0.71775,                0.76466,                0.59143,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     35,                0.82406,                0.52817,                  1.017,                0.93311,                0.71737,                0.76903,                0.60003,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     36,                0.82323,                0.53335,                 1.0208,                0.94135,                0.71484,                0.76404,                0.58984,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     37,                0.82398,                0.53009,                 1.0149,                0.93361,                0.71407,                 0.7604,                0.59452,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     38,                0.81541,                0.52467,                 1.0154,                0.93348,                0.71302,                0.75792,                0.59026,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     39,                0.81076,                 0.5152,                 1.0097,                0.93571,                0.70933,                0.75941,                0.59409,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     40,                0.80485,                0.51547,                 1.0082,                0.93829,                0.71864,                0.76692,                0.60261,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     41,                0.79245,                0.50254,                 1.0036,                0.94145,                0.71313,                0.76369,                0.59886,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     42,                0.80061,                0.50852,                 1.0046,                0.93978,                  0.715,                0.76236,                0.60001,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     43,                0.80016,                0.50113,                 1.0079,                 0.9355,                 0.7216,                0.76701,                 0.6027,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     44,                0.78208,                0.49478,                0.99917,                0.93582,                0.71285,                0.75891,                0.59732,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     45,                0.78204,                0.49278,                0.99067,                0.94086,                0.71272,                0.76597,                0.60453,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     46,                0.78382,                0.49229,                0.99723,                0.94266,                0.71192,                0.76322,                 0.6013,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     47,                0.78139,                0.48951,                0.99888,                0.93902,                0.72626,                0.77406,                0.61226,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     48,                0.77709,                0.48407,                0.99688,                0.94308,                0.71567,                0.76766,                0.61015,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     49,                  0.776,                 0.4845,                 0.9914,                 0.9324,                0.71754,                0.76161,                0.60388,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     50,                0.77191,                0.48027,                0.99316,                0.93036,                0.71814,                0.76192,                 0.6046,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     51,                0.76448,                0.47738,                0.98736,                0.93397,                0.71964,                0.76725,                0.61005,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                     52,                0.75868,                0.47209,                 0.9896,                0.93205,                0.71968,                0.76233,                0.60588,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     53,                0.75298,                0.47417,                0.98135,                0.93925,                0.71621,                0.76298,                  0.608,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                     54,                0.75516,                0.47268,                0.98624,                0.94231,                0.71339,                0.76511,                0.61031,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     55,                0.74259,                0.46347,                0.97629,                0.93713,                 0.7169,                 0.7664,                0.61276,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                     56,                0.75326,                0.46226,                0.98312,                 0.9387,                0.71996,                0.76672,                0.61322,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     57,                0.74909,                0.46185,                0.98337,                0.94161,                0.71489,                0.76321,                0.61015,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     58,                 0.7411,                0.45734,                0.98166,                0.94267,                0.71647,                0.76591,                0.61352,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     59,                0.74078,                0.45904,                0.98126,                0.94428,                0.71593,                 0.7681,                0.61566,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                     60,                0.73628,                0.45149,                0.97905,                0.94695,                0.71731,                0.76928,                0.61813,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     61,                0.73217,                0.44431,                 0.9749,                0.94274,                0.71739,                0.76697,                0.61577,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                     62,                0.72661,                0.44311,                 0.9714,                0.94004,                0.72141,                 0.7674,                0.61514,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     63,                0.72533,                0.44517,                0.96961,                0.94622,                0.71615,                 0.7676,                 0.6157,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                     64,                0.71783,                0.44034,                0.97131,                0.94797,                0.71556,                0.76629,                0.61538,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     65,                0.72191,                0.43681,                0.96935,                0.94505,                0.71732,                0.76815,                 0.6179,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                     66,                0.71411,                0.43699,                0.96761,                0.94661,                0.71842,                0.76941,                0.61807,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     67,                0.71461,                0.43233,                0.96855,                0.94551,                0.71841,                0.76612,                0.61603,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     68,                0.70759,                0.42921,                0.96546,                0.94376,                0.71533,                0.76638,                0.61707,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     69,                0.70079,                0.42508,                0.96267,                0.94293,                0.71312,                0.76428,                0.61466,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                     70,                0.70487,                0.42595,                0.96485,                 0.9379,                0.71647,                0.76623,                0.61762,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     71,                0.69451,                0.42185,                0.96065,                0.94117,                0.71367,                 0.7657,                0.61854,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                     72,                 0.6965,                0.42123,                0.95968,                 0.9434,                0.71292,                0.76457,                0.61701,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     73,                0.69413,                 0.4204,                0.95651,                0.94463,                0.71112,                0.76345,                 0.6161,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                     74,                0.68952,                0.41448,                0.95782,                0.94749,                 0.7079,                0.76363,                0.61686,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     75,                0.68689,                0.41285,                0.95995,                0.94546,                 0.7087,                0.76361,                0.61815,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                     76,                0.68943,                0.41307,                0.95327,                0.94661,                0.70778,                 0.7651,                 0.6202,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                     77,                0.68058,                0.40376,                0.95304,                0.94569,                0.71075,                0.76702,                0.62091,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     78,                0.67915,                0.40395,                0.94826,                0.94654,                0.71084,                0.76758,                0.62146,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     79,                0.66792,                0.39963,                0.94914,                0.95048,                0.70853,                0.76765,                0.62173,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                     80,                0.67409,                0.40198,                 0.9497,                0.95152,                0.70848,                0.76793,                0.62298,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                     81,                0.66917,                0.39742,                 0.9457,                 0.9512,                0.70835,                0.76751,                0.62217,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                     82,                0.65826,                0.39451,                0.94567,                0.94878,                0.70912,                0.76726,                0.62318,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     83,                 0.6675,                0.39372,                0.94788,                0.95126,                0.70794,                0.76726,                0.62365,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                     84,                 0.6595,                0.39283,                0.94182,                0.95077,                0.70718,                0.76652,                0.62365,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                     85,                0.64821,                0.38684,                0.93956,                0.93861,                0.71559,                0.76629,                0.62396,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
                     86,                0.65189,                0.38678,                0.94188,                0.93856,                0.71443,                0.76603,                0.62407,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     87,                0.64752,                0.38397,                0.94477,                0.94131,                0.71387,                0.76643,                0.62426,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     88,                0.64665,                0.37844,                0.94083,                 0.9398,                0.71428,                0.76673,                0.62522,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                     89,                0.64541,                0.38083,                0.93879,                0.93953,                0.71304,                0.76683,                0.62517,                    nan,                    nan,                    nan,               0.001387,               0.001387,               0.001387
                     90,                0.63672,                0.37525,                0.93624,                0.93906,                0.71241,                0.76637,                0.62495,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     91,                0.63245,                 0.3345,                0.90257,                 0.9406,                0.71208,                0.76621,                0.62532,                    nan,                    nan,                    nan,               0.001189,               0.001189,               0.001189
                     92,                0.62296,                0.33128,                 0.9015,                0.94349,                0.71004,                0.76671,                0.62533,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     93,                  0.621,                0.32628,                0.89965,                0.94595,                0.70936,                0.76747,                 0.6267,                    nan,                    nan,                    nan,               0.000991,               0.000991,               0.000991
                     94,                0.61396,                0.32286,                0.89565,                0.94571,                0.71019,                0.76814,                0.62769,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     95,                0.60323,                0.31596,                0.89117,                0.94643,                0.71006,                 0.7683,                0.62778,                    nan,                    nan,                    nan,               0.000793,               0.000793,               0.000793
                     96,                0.60035,                0.31205,                0.88988,                0.94626,                   0.71,                0.76872,                0.62853,                    nan,                    nan,                    nan,               0.000694,               0.000694,               0.000694
                     97,                0.59516,                0.31005,                0.88989,                0.94677,                0.71038,                 0.7692,                0.62877,                    nan,                    nan,                    nan,               0.000595,               0.000595,               0.000595
                     98,                0.59536,                0.31036,                0.88804,                0.94732,                0.71046,                0.76938,                0.62889,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
                     99,                0.59409,                0.30969,                0.89052,                0.94708,                0.71002,                0.76971,                0.62951,                    nan,                    nan,                    nan,               0.000397,               0.000397,               0.000397
                    100,                0.58412,                0.30529,                0.88504,                0.94619,                0.71115,                0.76996,                0.63015,                    nan,                    nan,                    nan,               0.000298,               0.000298,               0.000298
